Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,160833,Pacific Electric Ray,Cartilaginous,Home,,6,1,14,Pacific Electric Ray,Torpedo californica,species,Cartilaginous,fish,10,305,Can-Baja,Hard/Soft Mixed,Common,91,140,Pacific electric ray,Torpedo californica
,160818,Shovelnose Guitarfish,Cartilaginous,Home,,6,1,15,Shovelnose Guitarfish,Rhinobatos productus,species,Cartilaginous,fish,0,18,CCA-Baja,Mud/Sand,Common,119,170,Shovelnose guitarfish,Rhinobatos productus
,161015,Spotted Ratfish,Cartilaginous,Home,,6,1,16,Spotted Ratfish,Hydrolagus colliei,species,Cartilaginous,fish,0,913,AK-Baja,See specific species,Common,96,100,Spotted ratfish,Hydrolagus colliei
161002,27,UI ray,Cartilaginous,Home,,6,1,17,UI ray,Unidentified Elasmobranchii (ray),class,Cartilaginous,fish,,,,Mud/Sand,,,,UI ray,Unidentified ray
,160846,UI skate,Cartilaginous,Home,,6,1,18,UI skate,Unidentified Raja sp.,genus,Cartilaginous,fish,3,1372,AK-Baja,See specific species,,244,,UI skate,Raja sp.
,28,UI ray/skate,Cartilaginous,Home,,6,1,19,UI ray/skate,Unidentified Elasmobranchii  (ray or skate),class,Cartilaginous,fish,,,,,,,,UI ray/skate,Unidentified ray or skate
,160448,Leopard Shark,,,,,,,Leopard Shark,Triakis semifasciata,species,Cartilaginous - Shark,fish,0,90,Can-SCA,Hard/Soft Mixed,Common,160,198,Leopard shark,Triakis semifasciata
,170954,Bluebanded Ronquil,Other Fish,Benthic,,7,1,1,Bluebanded Ronquil,Rathbunella hypoplecta,species,Other Benthic Fish,fish,15,92,NCA-SCA,Hard/Soft Mixed,Common,16,21,Stripedfin ronquil,Rathbunella hypoplecta
,165215,UI eel pout,Other Fish,Benthic,,7,1,2,UI eel pout,Unidentified Zoarcidae,family,Other Benthic Fish,fish,,,AK-Baja,Mud/Sand,Common,25,,UI eel pout,Zoarcidae
,167426,UI poacher,Other Fish,Benthic,,7,1,3,UI poacher,Unidentified Agonidae,family,Other Benthic Fish,fish,,,,,,20,,UI poacher,Agonidae
,78,Shortspine/Longspine Combfish,Other Fish,Benthic,,7,1,4,S/L Combfish,Zaniolepis frenata or latipinnis,complex,Other Benthic Fish,fish,0,365,WA-Baja,See specific species,Uncommon,30,,Combfish complex,Z. frenata or Z. latipinnis
,167128,Longspine Combfish,Other Fish,Benthic,,7,1,5,Longspine Combfish,Zaniolepis latipinnis,species,Other Benthic Fish,fish,,,,,,,,Longspine combfish,Zaniolepis latipinnis
,167129,Shortspine Combfish,Other Fish,Benthic,,7,1,6,Shortspine Combfish,Zaniolepis frenata,species,Other Benthic Fish,fish,,,,,,,,Shortspine combfish,Zaniolepis frenata
,167123,Sablefish,Other Fish,Benthic,,7,1,7,Sablefish,Anoplopoma fimbria,species,Other Benthic Fish,fish,175,2750,AK-Baja,Mud,Common,80,120,Sablefish,Anoplopoma fimbria
,162378,California Lizardfish,Other Fish,Benthic,,7,1,8,Ca Lizardfish,Synodus lucioceps,species,Other Benthic Fish,fish,2,229,CCA-Baja,Mud/Sand,Common,30,64,California lizardfish,Synodus lucioceps
,164711,Pacific Cod,Other Fish,Benthic,,7,1,10,Pacific Cod,Gadus macrocephalus,species,Other Benthic Fish,fish,13,1280,Japan-SCA,Mud/Sand,Uncommon,114,119,Pacific cod,Gadus macrocephalus
,622244,Pacific Hagfish,Other Fish,Benthic,,7,1,11,Pacific Hagfish,Eptatretus stoutii,species,Other Benthic Fish,fish,6,966,AK-Baja,Mud/Sand,Common,63,63,Pacific hagfish,Eptatretus stoutii
,171672,Pacific Sand Lance,Other Fish,Benthic,,7,1,12,Pacific Sand Lance,Ammodytes hexapterus,species,Other Benthic Fish,fish,0,80,Japan-SCA,Sand,Common,20,30,Pacific sand lance,Ammodytes hexapterus
,164719,Pacific Tomcod,,,,,,,Pacific Tomcod,Microgadus proximus,species,Other Benthic Fish,fish,0,275,AK-CCA,Mud/Sand,Common,30,30,Pacific tomcod,Microgadus proximus
,164414,Plainfin Midshipman,Other Fish,Benthic,,7,1,14,Plainfin Midshipman,Porichthys notatus,species,Other Benthic Fish,fish,0,366,AK-Baja,Hard/Soft Mixed,Common,38,38,Plainfin midshipman,Porichthys notatus
22,164701,UI cod,Other Fish,Benthic,,7,1,16,UI cod,Unidentified Gadidae,family,Other Benthic Fish,fish,,,,,,114,,UI cod,Cod in shape
,169237,UI croaker,Other Fish,Benthic,,7,1,17,UI croaker,Unidentified Sciaenidae,family,Other Benthic Fish,fish,0,100,Can-Baja,Hard/Soft Interface,Uncommon,152,,UI croaker,Sciaenidae
,26,UI small benthic fish,Other Fish,Benthic,,7,1,18,UI small benthic,Unidentified small benthic fish,,Other Benthic Fish,fish,,,,,,,,UI small benthic fish,Unidentified small bottom fish
,164792,Pacific Hake,Other Fish,Pelagic,,7,2,1,Pacific Hake,Merluccius productus,species,Schooling Pelagic,fish,0,1000,Can-Baja,See specific species,Common,60,91,Pacific hake,Merluccius productus
,159699,Pacific Lamprey,Other Fish,Pelagic,,7,2,2,Pacific Lamprey,Entosphenus tridentatus,species,Other Fish,fish,0,1508,AK-Baja,Hard/Soft Mixed,Common,41,76,Pacific lamprey,Entosphenus tridentatus
,173414,Ocean Sunfish,Other Fish,Pelagic,,7,2,3,Ocean Sunfish,Mola mola,species,Other Fish,fish,0,480,Can-Baja,See specific species,Common,333,399,Ocean sunfish,Mola mola
,168696,Yellowtail Jack,Other Fish,Pelagic,,7,2,4,Yellowtail Jack,Seriola lalandi,species,schooling pelagic,fish,3,825,AK-Baja,Hard/Soft Mixed,Common,80,250,Yellowtail jack,Seriola dorsalis
,166404,Tubesnout,Other Fish,Pelagic,,7,2,5,Tubesnout,Aulorhynchus flavidus,species,Schooling Pelagic,fish,0,30,AK-Baja,Hard/Soft Mixed,Uncommon,18,18,Tube-snout,Aulorhynchus flavidus
,166424,Slender Snipefish,Other Fish,Pelagic,,7,2,6,Slender Snipefish,Macroramphosus gracilis,species,Schooling Pelagic,fish,50,500,Can-Baja,Hard/Soft Mixed,Common,11,15,Slender snipefish,Macrorhamphosus gracilis
,161931,UI salmonid,Other Fish,Pelagic,,7,2,7,UI salmonid,Unidentified Salmonidae,family,Schooling Pelagic,fish,0,375,AK-Baja,,Uncommon,150,,UI salmonid,Salmonidae
102,162028,UI smelt,Other Fish,Pelagic,,7,2,8,UI smelt,Unidentified Osmeridae,family,Schooling Pelagic,fish,0,225,AK-Baja,Hard/Soft Mixed,Common,,,UI smelt,Osmeridae
79,172398,UI tuna,Other Fish,Pelagic,,7,2,9,UI tuna,Unidentified Scombridae,family,Schooling Pelagic,fish,,,,,,,,UI tuna,
,33,UI schooling pelagic fish,Other Fish,Pelagic,,7,2,10,UI schooling pelagic fish,Unidentified schooling pelagic fish,,Schooling Pelagic,fish,,,,,,,,UI schooling pelagic,
,35,UI large pelagic fish,,,,,,,UI large pelagic fish,Unidentified large pelagic fish,,Other Fish,fish,,,,,,,,UI large pelagic fish,
165000,165332,UI grenadier,Other Fish,Pelagic,,7,2,12,UI grenadier,Unidentified Macrouridae,family,Other Fish,fish,,,,,,,,UI grenadier,Unidentified grenadier
999997,999999,UI fish,Other Fish,Pelagic,,7,2,13,UI fish,Unidentified fish,,Other Fish,fish,,,,,,,,UI fish,Unidentified fish
,166749,Starry Rockfish,Rockfish_Rockfish,Home_Red Rockfish,10,2_2,1_2,17_4,Starry RF,Sebastes constellatus,species,Rockfish - Demersal,fish,15,274,NCA-Baja,Rocky,Common,42,46,Starry rockfish,Sebastes constellatus
